step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.001500118514765613,1.0,0.3029624261449134,0.04878699013596374
2,0.1,0.003000042271306373,1.0,0.3029943952032047,0.04878699013596374
3,0.15000000000000002,0.004500035525047318,1.0,0.30300222403116167,0.04878699013596374
4,0.2,0.0060000385175033085,1.0,0.30300575217289955,0.04878699013596374
5,0.25,0.0075000450138315656,1.0,0.3030074247849234,0.04878699013596374
6,0.30000000000000004,0.009000052646507065,1.0,0.3030083636143895,0.04878699013596374
7,0.35000000000000003,0.010500060676403456,1.0,0.3030091321330317,0.04878699013596374
8,0.4,0.012000068958435237,1.0,0.30300954675600617,0.04878699013596374
9,0.45,0.013500077353800608,1.0,0.3030098173648238,0.04878699013596374
10,0.5,0.015000085718126019,1.0,0.3030106277464225,0.04878699013596374
11,0.55,0.016500093554224517,1.0,0.3030133064310733,0.04878699013596374
12,0.6000000000000001,0.01800010180548504,1.0,0.30301380601524336,0.04878699013596374
13,0.65,0.01950010943844671,1.0,0.30301583451766106,0.04878699013596374
14,0.7000000000000001,0.02100011780061279,1.0,0.30301599494862236,0.04878699013596374
15,0.75,0.022500125023307394,1.0,0.30301848943064175,0.04878699013596374
16,0.8,0.02400013185392263,1.0,0.3030216517103696,0.04878699013596374
17,0.8500000000000001,0.025500138304279614,1.0,0.30302537049209854,0.04878699013596374
18,0.9,0.02700014406860023,1.0,0.3030304293210877,0.04878699013596374
19,0.9500000000000001,0.028500147971517835,1.0,0.3030357795980335,0.04878699013596374
20,1.0,0.030000151477640204,1.0,0.30304208308190544,0.04878699013596374
