step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.001500097711026521,1.0,0.16195162960913068,0.03305785123966942
2,0.1,0.00300003887488647,1.0,0.1619833476152696,0.03305785123966942
3,0.15000000000000002,0.004500026431180941,1.0,0.161993972982691,0.03305785123966942
4,0.2,0.00600002616799796,1.0,0.16199849626281307,0.03305785123966942
5,0.25,0.007500029479896134,1.0,0.16200066652034756,0.03305785123966942
6,0.30000000000000004,0.009000033970135084,1.0,0.16200185674772055,0.03305785123966942
7,0.35000000000000003,0.010500038930118347,1.0,0.16200257231233964,0.03305785123966942
8,0.4,0.012000044491513913,1.0,0.16200303447835265,0.03305785123966942
9,0.45,0.013500049618103128,1.0,0.1620033704705773,0.03305785123966942
10,0.5,0.015000054593904886,1.0,0.16200430038234875,0.03305785123966942
11,0.55,0.01650005995291358,1.0,0.16200451141589714,0.03305785123966942
12,0.6000000000000001,0.01800006533574113,1.0,0.16200466511043488,0.03305785123966942
13,0.65,0.019500070780240283,1.0,0.16200477958777296,0.03305785123966942
14,0.7000000000000001,0.02100007617472337,1.0,0.162004868678372,0.03305785123966942
15,0.75,0.022500081580027774,1.0,0.16200493891411058,0.03305785123966942
16,0.8,0.024000086992636224,1.0,0.16200499519716888,0.03305785123966942
17,0.8500000000000001,0.0255000924102801,1.0,0.1620050409335382,0.03305785123966942
18,0.9,0.027000097831483293,1.0,0.16200507854273652,0.03305785123966942
19,0.9500000000000001,0.028500103255256783,1.0,0.1620051097878784,0.03305785123966942
20,1.0,0.030000108566780974,1.0,0.16200628091793184,0.03305785123966942
