Gc_J_m2,l0_m,l0_over_h,recommended_gc_band
3900.0,1.0,4.0,False
3900.0,1.125,4.5,False
3900.0,1.25,5.0,False
3900.0,1.375,5.5,False
3900.0,1.5,6.0,False
3900.0,1.625,6.5,False
3900.0,1.75,7.0,False
3900.0,1.875,7.5,False
3900.0,2.0,8.0,False
4577.083333333333,1.0,4.0,False
4577.083333333333,1.125,4.5,False
4577.083333333333,1.25,5.0,False
4577.083333333333,1.375,5.5,False
4577.083333333333,1.5,6.0,False
4577.083333333333,1.625,6.5,False
4577.083333333333,1.75,7.0,False
4577.083333333333,1.875,7.5,False
4577.083333333333,2.0,8.0,False
5308.333333333333,1.0,4.0,False
5308.333333333333,1.125,4.5,False
5308.333333333333,1.25,5.0,False
5308.333333333333,1.375,5.5,False
5308.333333333333,1.5,6.0,False
5308.333333333333,1.625,6.5,False
5308.333333333333,1.75,7.0,False
5308.333333333333,1.875,7.5,False
5308.333333333333,2.0,8.0,False
6093.75,1.0,4.0,True
6093.75,1.125,4.5,True
6093.75,1.25,5.0,True
6093.75,1.375,5.5,True
6093.75,1.5,6.0,True
6093.75,1.625,6.5,True
6093.75,1.75,7.0,True
6093.75,1.875,7.5,True
6093.75,2.0,8.0,True
6933.333333333333,1.0,4.0,True
6933.333333333333,1.125,4.5,True
6933.333333333333,1.25,5.0,True
6933.333333333333,1.375,5.5,True
6933.333333333333,1.5,6.0,True
6933.333333333333,1.625,6.5,True
6933.333333333333,1.75,7.0,True
6933.333333333333,1.875,7.5,True
6933.333333333333,2.0,8.0,True
7827.083333333333,1.0,4.0,True
7827.083333333333,1.125,4.5,True
7827.083333333333,1.25,5.0,True
7827.083333333333,1.375,5.5,True
7827.083333333333,1.5,6.0,True
7827.083333333333,1.625,6.5,True
7827.083333333333,1.75,7.0,True
7827.083333333333,1.875,7.5,True
7827.083333333333,2.0,8.0,True
8775.0,1.0,4.0,False
8775.0,1.125,4.5,False
8775.0,1.25,5.0,False
8775.0,1.375,5.5,False
8775.0,1.5,6.0,False
8775.0,1.625,6.5,False
8775.0,1.75,7.0,False
8775.0,1.875,7.5,False
8775.0,2.0,8.0,False
9777.083333333334,1.0,4.0,False
9777.083333333334,1.125,4.5,False
9777.083333333334,1.25,5.0,False
9777.083333333334,1.375,5.5,False
9777.083333333334,1.5,6.0,False
9777.083333333334,1.625,6.5,False
9777.083333333334,1.75,7.0,False
9777.083333333334,1.875,7.5,False
9777.083333333334,2.0,8.0,False
10833.333333333334,1.0,4.0,False
10833.333333333334,1.125,4.5,False
10833.333333333334,1.25,5.0,False
10833.333333333334,1.375,5.5,False
10833.333333333334,1.5,6.0,False
10833.333333333334,1.625,6.5,False
10833.333333333334,1.75,7.0,False
10833.333333333334,1.875,7.5,False
10833.333333333334,2.0,8.0,False
